Gender,Bike,Skate,Hsize,Time,Convenience,Cost,Safety,Environment,Health,Weather,Parking,Distance,Age_20 και κάτω,Age_21 - 30,Age_31 -40,Age_41 - 50,Age_51 και ανω,Income_0 - 500,Income_1000 - 1500,Income_1500 και ανω,Income_500 - 1000,Depart_time_06.00 - 09.00,Depart_time_09.00 - 12.00,Depart_time_12.00 - 15.00,Depart_time_Other,Mode
1,0,0,2,11,5,1,5,1,5,5,1,0.8,0,0,0,0,1,0,0,0,1,1,0,0,0,2
1,0,1,3,21,5,3,3,4,5,5,2,1.7,0,1,0,0,0,1,0,0,0,0,0,0,1,2
0,0,0,3,12,5,3,5,3,3,3,4,9.4,0,1,0,0,0,0,0,0,1,0,1,0,0,0
1,0,0,2,15,3,3,3,4,5,5,3,1.0,0,1,0,0,0,1,0,0,0,0,0,0,1,2
0,1,0,4,37,2,5,3,3,3,3,1,7.9,1,0,0,0,0,0,0,1,0,1,0,0,0,1
1,0,0,4,39,5,5,5,5,5,5,5,28.2,0,0,0,0,1,0,1,0,0,0,0,0,1,0
0,1,0,3,50,3,3,3,3,5,5,3,3.4,1,0,0,0,0,0,0,0,1,1,0,0,0,2
0,0,0,4,18,5,3,5,3,3,3,5,8.6,0,0,1,0,0,0,1,0,0,0,0,1,0,0
0,0,0,3,19,3,3,3,4,4,4,3,1.3,1,0,0,0,0,1,0,0,0,0,0,1,0,2
0,0,0,3,18,5,3,5,3,3,3,3,6.8,0,1,0,0,0,0,1,0,0,1,0,0,0,0
0,0,0,1,23,3,5,4,2,4,4,5,16.6,0,1,0,0,0,0,0,0,1,0,0,0,1,0
1,0,0,2,7,5,3,5,3,3,5,5,2.5,0,1,0,0,0,0,0,0,1,0,1,0,0,0
0,0,0,3,21,4,3,2,2,4,5,2,1.4,0,1,0,0,0,1,0,0,0,1,0,0,0,2
1,1,0,3,60,1,5,3,3,3,3,3,13.1,0,0,0,1,0,0,0,0,1,1,0,0,0,1
1,0,0,4,27,4,3,4,3,3,3,4,9.6,0,0,1,0,0,0,1,0,0,1,0,0,0,0
0,0,0,3,46,5,5,5,2,3,5,5,19.6,0,1,0,0,0,0,0,0,1,1,0,0,0,0
0,0,0,3,20,4,4,4,4,3,3,5,10.8,0,1,0,0,0,0,1,0,0,1,0,0,0,0
1,0,0,3,27,2,3,3,3,2,3,4,5.1,0,0,0,1,0,0,1,0,0,1,0,0,0,1
0,1,1,3,16,3,3,3,3,4,5,3,1.2,1,0,0,0,0,1,0,0,0,0,1,0,0,2
1,0,0,4,10,4,4,3,3,3,3,3,0.75,0,1,0,0,0,0,0,0,1,0,0,0,1,2
1,0,0,4,11,4,5,5,4,3,4,4,3.7,0,0,0,1,0,0,1,0,0,0,1,0,0,0
0,1,0,5,22,3,5,3,4,4,4,2,1.6,0,1,0,0,0,0,0,0,1,0,0,1,0,2
1,1,1,3,40,3,5,3,2,2,4,2,5.5,0,1,0,0,0,0,0,0,1,1,0,0,0,1
0,0,0,3,6,5,2,5,4,3,5,4,1.4,0,1,0,0,0,0,1,0,0,0,1,0,0,0
0,1,0,4,6,1,5,3,1,1,5,5,1.1,0,1,0,0,0,0,0,0,1,0,1,0,0,0
0,0,0,4,30,2,5,5,5,3,5,5,1.9,0,0,0,1,0,0,0,0,1,1,0,0,0,2
0,0,0,4,20,5,2,5,3,3,3,5,6.8,0,0,1,0,0,0,1,0,0,1,0,0,0,0
1,0,0,4,5,5,5,5,5,4,5,1,0.4,0,1,0,0,0,0,0,0,1,0,1,0,0,2
1,0,0,2,8,5,4,5,3,2,5,5,3.4,0,0,1,0,0,0,0,0,1,1,0,0,0,0
0,1,0,4,46,4,4,4,4,5,5,4,8.7,0,0,0,0,1,0,0,0,1,1,0,0,0,1
0,0,0,4,15,4,5,3,2,3,2,3,1.1,0,1,0,0,0,1,0,0,0,0,0,1,0,2
1,0,0,3,12,1,1,1,1,1,2,1,2.7,0,0,1,0,0,0,0,0,1,1,0,0,0,0
1,0,0,5,17,4,4,4,4,4,4,5,5.0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
1,0,0,2,27,4,2,4,2,2,2,3,7.6,0,0,0,1,0,0,0,0,1,0,1,0,0,0
1,0,0,4,10,5,4,4,3,4,5,4,0.7,0,1,0,0,0,0,0,0,1,1,0,0,0,2
0,1,0,4,11,3,3,3,4,4,5,3,7.4,0,1,0,0,0,0,1,0,0,0,1,0,0,0
0,0,0,5,54,2,4,3,3,2,4,1,13.6,1,0,0,0,0,1,0,0,0,0,1,0,0,1
1,0,0,3,28,5,5,2,2,2,2,2,3.7,0,1,0,0,0,0,0,0,1,1,0,0,0,1
1,0,0,4,16,5,5,5,3,1,4,5,1.2,0,1,0,0,0,0,0,0,1,0,1,0,0,2
0,0,0,4,37,4,1,1,1,2,3,3,6.7,1,0,0,0,0,1,0,0,0,0,1,0,0,1
0,1,0,2,5,5,5,5,5,5,5,5,0.7,0,0,1,0,0,0,1,0,0,0,0,1,0,2
0,0,0,5,34,3,3,3,3,5,4,3,2.5,1,0,0,0,0,1,0,0,0,1,0,0,0,2
0,0,0,2,14,4,5,4,1,2,5,4,1.0,0,1,0,0,0,0,0,0,1,0,1,0,0,2
1,0,0,2,46,5,4,4,3,3,4,5,12.1,0,1,0,0,0,0,0,0,1,1,0,0,0,1
1,1,0,3,22,4,2,2,2,3,3,1,19.0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
1,0,0,3,16,1,1,1,1,3,3,1,3.0,0,0,1,0,0,1,0,0,0,0,1,0,0,1
1,0,0,3,31,3,4,3,3,4,5,4,2.3,0,1,0,0,0,0,0,0,1,0,0,1,0,2
0,0,0,3,51,4,5,5,4,4,4,4,29.2,0,0,0,0,1,0,0,1,0,1,0,0,0,0
1,0,0,5,23,5,4,4,3,3,4,3,4.3,0,1,0,0,0,1,0,0,0,0,0,1,0,1
1,0,0,1,17,4,5,4,3,4,5,3,1.3,0,1,0,0,0,0,0,0,1,0,0,1,0,2
1,0,0,3,25,5,5,3,3,3,3,3,4.1,0,0,0,1,0,0,0,0,1,1,0,0,0,1
1,0,0,5,60,4,3,5,5,4,4,5,9.2,0,0,0,1,0,0,0,0,1,1,0,0,0,1
0,0,0,4,22,2,5,4,1,3,4,5,3.6,0,1,0,0,0,0,0,0,1,0,0,1,0,1
0,0,0,4,36,3,4,3,2,2,2,2,6.4,0,1,0,0,0,1,0,0,0,0,1,0,0,1
0,0,0,3,34,3,4,3,3,5,5,5,2.5,0,1,0,0,0,0,0,0,1,1,0,0,0,2
1,0,0,2,48,2,5,2,2,2,4,2,7.2,0,0,0,1,0,0,0,0,1,0,1,0,0,1
1,0,0,8,13,5,5,3,4,2,5,5,1.0,0,1,0,0,0,0,1,0,0,0,0,1,0,2
1,0,0,3,25,5,4,2,2,2,1,1,3.5,1,0,0,0,0,1,0,0,0,1,0,0,0,1
0,1,0,1,46,3,5,3,3,2,4,2,6.6,1,0,0,0,0,0,0,0,1,0,0,0,1,1
0,0,0,3,37,3,3,3,3,5,4,3,2.8,0,1,0,0,0,1,0,0,0,0,0,0,1,2
1,0,0,5,30,2,5,2,2,2,4,2,5.8,0,0,1,0,0,0,0,0,1,1,0,0,0,1
